time,addA.opAmp.v_out_ref,addA.opAmp.v_out_sim,addA.opAmp.v_out_relerr,addB.y_ref,addB.y_sim,addB.y_relerr
0.0855,2.252369392e-26,-0,2.04752e-27,0,0,0
0.086,2.267400563e-26,-0,2.06119e-27,0,0,0
0.0865,2.282431734e-26,-0,2.07485e-27,0,0,0
0.087,2.297462905e-26,-0,2.08851e-27,0,0,0
0.0875,2.312494076e-26,-0,2.10218e-27,0,0,0
0.088,2.327525248e-26,-0,2.11584e-27,0,0,0
0.0885,2.342556419e-26,-0,2.12951e-27,0,0,0
0.089,2.35758759e-26,-0,2.14317e-27,0,0,0
0.0895,2.372618761e-26,-0,2.15683e-27,0,0,0
0.09,2.387649932e-26,-0,2.1705e-27,0,0,0
0.0905,2.402681104e-26,-0,2.18416e-27,0,0,0
0.091,2.417712275e-26,-0,2.19783e-27,0,0,0
0.0915,2.432743446e-26,-0,2.21149e-27,0,0,0
0.092,2.447774617e-26,-0,2.22516e-27,0,0,0
0.0925,2.462805788e-26,-0,2.23882e-27,0,0,0
0.093,2.47783696e-26,-0,2.25248e-27,0,0,0
0.0935,2.492868131e-26,-0,2.26615e-27,0,0,0
0.094,2.507899302e-26,-0,2.27981e-27,0,0,0
0.0945,2.522930473e-26,-0,2.29348e-27,0,0,0
0.095,2.537961644e-26,-0,2.30714e-27,0,0,0
0.0955,2.552992815e-26,-0,2.3208e-27,0,0,0
0.096,2.568023987e-26,-0,2.33447e-27,0,0,0
0.0965,2.583055158e-26,-0,2.34813e-27,0,0,0
0.097,2.598086329e-26,-0,2.3618e-27,0,0,0
0.0975,2.6131175e-26,-0,2.37546e-27,0,0,0
0.098,2.628148671e-26,-0,2.38912e-27,0,0,0
0.0985,2.643179843e-26,-0,2.40279e-27,0,0,0
0.099,2.658211014e-26,-0,2.41645e-27,0,0,0
0.0995,2.673242185e-26,-0,2.43012e-27,0,0,0
0.1,2.688273356e-26,-5.159546142e-07,4.6903e-08,0,5.162126373e-07,4.69284e-08
0.1,2.688273356e-26,-5.159546142e-07,4.6903e-08,0,5.162126373e-07,4.69284e-08
0.1005,-0.249823014,-0.249821441,1.42997e-07,0.2499485365,0.2499469627,1.43078e-07
0.101,-0.4993417364,-0.4993401198,1.46952e-07,0.4995936645,0.4995920471,1.47035e-07
0.1015,-0.7482668621,-0.7482652357,1.47848e-07,0.7486457259,0.7486440986,1.47933e-07
0.102,-0.9963240367,-0.9963224241,1.46597e-07,0.9968300281,0.9968284146,1.46684e-07
0.1025,-1.243253337,-1.243251752,1.44074e-07,1.243886324,1.243884739,1.44159e-07
0.103,-1.488808864,-1.488807353,1.37358e-07,1.489568406,1.489566895,1.3744e-07
0.1035,-1.732758439,-1.732757013,1.29589e-07,1.733643801,1.733642375,1.29668e-07
0.104,-1.974883144,-1.974881809,1.21346e-07,1.975893312,1.975891976,1.21422e-07
0.1045,-2.214976971,-2.214975732,1.12654e-07,2.216110662,2.216109422,1.12724e-07
0.105,-2.452846423,-2.45284528,1.03878e-07,2.454102104,2.454100961,1.03941e-07
0.1055,-2.688310178,-2.688309101,9.79499e-08,2.68968608,2.689685002,9.8009e-08
0.106,-2.921198678,-2.921197593,9.86147e-08,2.922692805,2.922691719,9.86713e-08
0.1065,-3.151353737,-3.151352677,9.64281e-08,3.152963885,3.152962823,9.64806e-08
0.107,-3.378628218,-3.378627174,9.4912e-08,3.380351984,3.380350939,9.49622e-08
0.1075,-3.602885688,-3.602884674,9.21349e-08,3.604720487,3.604719473,9.21784e-08
0.108,-3.824000058,-3.823999014,9.49081e-08,3.825943134,3.82594209,9.49478e-08
0.1085,-4.041855215,-4.041854196,9.26088e-08,4.043903653,4.043902634,9.26359e-08
0.109,-4.25634468,-4.256343714,8.78215e-08,4.258495418,4.258494452,8.78316e-08
0.1095,-4.467371279,-4.467370278,9.0982e-08,4.469621124,4.469620123,9.09816e-08
0.11,-4.674846786,-4.674845776,9.17511e-08,4.67719242,4.677191411,9.17408e-08
0.1105,-4.878691574,-4.878690467,1.00602e-07,4.88112957,4.881128463,1.00601e-07
0.111,-5.078834349,-5.078833263,9.87269e-08,5.081361181,5.081360094,9.87383e-08
0.1115,-5.275211835,-5.275210806,9.36141e-08,5.277823887,5.277822857,9.36396e-08
0.112,-5.467768401,-5.467767339,9.65767e-08,5.470461979,5.470460916,9.66275e-08
0.1125,-5.656455786,-5.656454743,9.48397e-08,5.65922713,5.659226086,9.49087e-08
0.113,-5.841232805,-5.841231661,1.03954e-07,5.844078095,5.84407695,1.04051e-07
0.1135,-6.022065051,-6.022063846,1.09598e-07,6.024980419,6.024979213,1.09715e-07
0.114,-6.198924589,-6.198923455,1.03105e-07,6.201906128,6.201904993,1.03216e-07
0.1145,-6.371789702,-6.371788616,9.87814e-08,6.374833476,6.374832388,9.88882e-08
0.115,-6.540644581,-6.540643424,1.05142e-07,6.54374663,6.543745472,1.05268e-07
0.1155,-6.705479096,-6.705477974,1.02032e-07,6.708635449,6.708634325,1.02165e-07
0.116,-6.866288487,-6.866287228,1.14459e-07,6.869495165,6.869493904,1.1462e-07
0.1165,-7.023073156,-7.023071812,1.22192e-07,7.026326184,7.026324838,1.22376e-07
0.117,-7.175838365,-7.175837103,1.14686e-07,7.179133775,7.179132512,1.1487e-07
0.1175,-7.324594042,-7.324592872,1.06345e-07,7.327927885,7.327926713,1.06526e-07
0.118,-7.46935449,-7.469353287,1.09376e-07,7.472722837,7.472721632,1.09571e-07
0.1185,-7.610138212,-7.610136949,1.1486e-07,7.613537165,7.613535899,1.15081e-07
0.119,-7.746967622,-7.746966363,1.14488e-07,7.750393316,7.750392054,1.14715e-07
0.1195,-7.879868893,-7.879867458,1.30515e-07,7.883317504,7.883316065,1.30773e-07
0.12,-8.008871672,-8.008870228,1.31255e-07,8.012339422,8.012337975,1.31524e-07
0.1205,-8.134008947,-8.134007625,1.20216e-07,8.137492109,8.137490784,1.20476e-07
0.121,-8.25531677,-8.255315548,1.11038e-07,8.258811672,8.258810448,1.11296e-07
0.1215,-8.372834138,-8.372832855,1.16665e-07,8.376337168,8.376335882,1.16936e-07
0.122,-8.486602727,-8.486601397,1.20919e-07,8.490110338,8.490109005,1.212e-07
0.1225,-8.596666787,-8.59666547,1.19778e-07,8.600175499,8.600174178,1.20065e-07
0.123,-8.703072884,-8.703071388,1.35996e-07,8.706579288,8.706577789,1.36315e-07
0.1235,-8.805869809,-8.805868267,1.40215e-07,8.809370572,8.809369025,1.40549e-07
0.124,-8.905108333,-8.905106917,1.28683e-07,8.908600197,8.908598778,1.28999e-07
0.1245,-9.000841123,-9.000839846,1.161e-07,9.004320913,9.004319633,1.16405e-07
0.125,-9.093122512,-9.093121257,1.14061e-07,9.096587135,9.096585877,1.14365e-07
0.1255,-9.182008426,-9.182007051,1.25031e-07,9.185454876,9.185453497,1.25359e-07
0.126,-9.267556163,-9.267554887,1.15959e-07,9.270981519,9.27098024,1.16276e-07
0.1265,-9.349824332,-9.349822928,1.27632e-07,9.353225763,9.353224355,1.27978e-07
0.127,-9.428872638,-9.428871092,1.40571e-07,9.432247404,9.432245854,1.40943e-07
0.1275,-9.504761842,-9.504760305,1.3964e-07,9.508107294,9.508105754,1.40014e-07
0.128,-9.577553544,-9.57755216,1.25847e-07,9.580867128,9.58086574,1.26197e-07
0.1285,-9.64731016,-9.647308914,1.13236e-07,9.650589415,9.650588166,1.13566e-07
0.129,-9.714094715,-9.714093495,1.10936e-07,9.717337275,9.717336051,1.11262e-07
0.1295,-9.777970824,-9.777969494,1.20875e-07,9.781174419,9.781173085,1.21225e-07
0.13,-9.839002502,-9.839001256,1.13264e-07,9.842164957,9.842163707,1.13606e-07
0.1305,-9.897254147,-9.89725283,1.19721e-07,9.900373384,9.900372063,1.20079e-07
0.131,-9.952790364,-9.952788907,1.3244e-07,9.955864402,9.955862941,1.32825e-07
0.1315,-10.00567596,-10.00567447,1.35167e-07,10.00870291,10.00870142,1.35561e-07
0.132,-10.05597575,-10.05597438,1.24755e-07,10.05895383,10.05895245,1.25135e-07
0.1325,-10.10375462,-10.1037534,1.10926e-07,10.10668212,10.1066809,1.11285e-07
0.133,-10.14907727,-10.14907615,1.0198e-07,10.15195261,10.15195148,1.02325e-07
0.1335,-10.19200832,-10.19200717,1.05084e-07,10.19482999,10.19482883,1.05439e-07
0.134,-10.2326121,-10.23261086,1.12911e-07,10.23537868,10.23537743,1.13277e-07
0.1345,-10.27095266,-10.27095152,1.03428e-07,10.27366283,10.27366169,1.03774e-07
0.135,-10.30709367,-10.30709245,1.10533e-07,10.30974621,10.30974499,1.10895e-07
0.1355,-10.34109839,-10.34109708,1.19722e-07,10.34369216,10.34369084,1.201e-07
0.136,-10.37302958,-10.37302827,1.19252e-07,10.37556353,10.37556222,1.19629e-07
0.1365,-10.40294949,-10.40294828,1.10673e-07,10.40542266,10.40542144,1.1104e-07
0.137,-10.43091975,-10.43091868,9.80473e-08,10.43333128,10.43333019,9.83965e-08
0.1375,-10.4570014,-10.45700041,8.9843e-08,10.45935049,10.45934949,9.01766e-08
0.138,-10.48125476,-10.48125379,8.89606e-08,10.4835407,10.48353972,8.92906e-08
0.1385,-10.50373948,-10.50373844,9.49183e-08,10.50596166,10.50596061,9.52627e-08
0.139,-10.52451441,-10.52451342,9.04557e-08,10.52667228,10.52667128,9.07918e-08
0.1395,-10.54363766,-10.54363667,9.06675e-08,10.54573076,10.54572976,9.10072e-08
0.14,-10.56116648,-10.56116543,9.55805e-08,10.56319441,10.56319336,9.59363e-08
0.1405,-10.57715729,-10.57715621,9.78809e-08,10.57911975,10.57911867,9.82605e-08
0.141,-10.59166561,-10.59166458,9.39268e-08,10.59356237,10.59356133,9.43172e-08
0.1415,-10.60474611,-10.60474516,8.64561e-08,10.60657699,10.60657603,8.68604e-08
0.142,-10.61645246,-10.61645161,7.77195e-08,10.61821736,10.6182165,7.81301e-08
0.1425,-10.62683745,-10.62683666,7.23146e-08,10.62853635,10.62853555,7.27335e-08
0.143,-10.63595287,-10.63595209,7.09849e-08,10.63758579,10.637585,7.14061e-08
0.1435,-10.64384954,-10.64384873,7.3563e-08,10.64541658,10.64541577,7.39819e-08
0.144,-10.65057729,-10.65057649,7.27167e-08,10.65207861,10.65207781,7.31297e-08
0.1445,-10.65618494,-10.65618416,7.12493e-08,10.65762076,10.65761997,7.16614e-08
0.145,-10.66072029,-10.66071952,6.99896e-08,10.66209088,10.6620901,7.04057e-08
0.1455,-10.66423012,-10.66422937,6.85871e-08,10.66553581,10.66553505,6.90019e-08
0.146,-10.66676018,-10.66675945,6.58673e-08,10.66800135,10.66800062,6.62806e-08
0.1465,-10.66835518,-10.66835448,6.29344e-08,10.66953226,10.66953156,6.33467e-08
0.147,-10.66905877,-10.66905812,5.93808e-08,10.67017225,10.67017159,5.97942e-08
0.1475,-10.6689136,-10.66891298,5.63678e-08,10.669964,10.66996337,5.67834e-08
0.148,-10.66796123,-10.66796064,5.33779e-08,10.66894912,10.66894853,5.37898e-08
0.1485,-10.6662422,-10.66624164,5.12517e-08,10.6671682,10.66716763,5.16573e-08
0.149,-10.66379601,-10.66379546,4.94464e-08,10.66466076,10.66466022,4.98492e-08
0.1495,-10.6606611,-10.6606605,5.41096e-08,10.66146531,10.66146471,5.45269e-08
0.15,-10.65687488,-10.65687431,5.19994e-08,10.65761928,10.6576187,5.24156e-08
0.1505,-10.65247374,-10.65247326,4.37151e-08,10.65315909,10.65315861,4.41038e-08
0.151,-10.64749304,-10.64749265,3.55052e-08,10.64812014,10.64811974,3.58719e-08
0.1515,-10.64196712,-10.64196678,3.12815e-08,10.64253679,10.64253644,3.16342e-08
0.152,-10.63592931,-10.63592896,3.11526e-08,10.63644241,10.63644206,3.15073e-08
0.1525,-10.62941193,-10.62941155,3.42732e-08,10.62986934,10.62986896,3.46338e-08
0.153,-10.62244631,-10.62244589,3.77611e-08,10.62284894,10.62284852,3.81283e-08
0.1535,-10.61506281,-10.61506238,3.94462e-08,10.6154116,10.61541116,3.98191e-08
0.154,-10.60729081,-10.6072904,3.71782e-08,10.60758671,10.60758629,3.75436e-08
0.1545,-10.59915874,-10.59915839,3.14519e-08,10.59940271,10.59940236,3.18005e-08
0.155,-10.59069405,-10.59069377,2.50341e-08,10.59088709,10.59088681,2.53687e-08
0.1555,-10.5819233,-10.58192287,3.86907e-08,10.58206641,10.58206598,3.90619e-08
0.156,-10.57287209,-10.57287169,3.69786e-08,10.5729663,10.57296589,3.73421e-08
0.1565,-10.56356515,-10.56356492,2.05357e-08,10.56361149,10.56361126,2.08513e-08
0.157,-10.55402627,-10.55402623,3.49161e-09,10.55402579,10.55402575,3.75649e-09
0.1575,-10.54427841,-10.54427848,6.25746e-09,10.54423217,10.54423223,6.02072e-09
0.158,-10.53434363,-10.5343437,6.46728e-09,10.53425268,10.53425275,6.23042e-09
0.1585,-10.52424315,-10.52424313,1.52531e-09,10.52410858,10.52410856,1.78403e-09
0.159,-10.51399737,-10.51399722,1.36139e-08,10.51382025,10.51382009,1.39064e-08
0.1595,-10.50362585,-10.50362558,2.4877e-08,10.50340726,10.50340699,2.52014e-08
0.16,-10.49314738,-10.49314704,3.06007e-08,10.49288841,10.49288807,3.09381e-08
0.1605,-10.48257993,-10.48257962,2.81093e-08,10.48228166,10.48228135,2.84375e-08
0.161,-10.47194072,-10.47194052,1.79647e-08,10.47160424,10.47160404,1.82592e-08
0.1615,-10.46124622,-10.46124615,5.80212e-09,10.46087262,10.46087256,6.05347e-09
0.162,-10.45051215,-10.45051192,2.05225e-08,10.45010252,10.45010229,2.07934e-08
0.1625,-10.43975353,-10.43975322,2.83969e-08,10.43930895,10.43930864,2.86831e-08
0.163,-10.42898467,-10.42898455,1.04674e-08,10.42850622,10.4285061,1.07021e-08
0.1635,-10.41821918,-10.41821932,1.29903e-08,10.41770793,10.41770807,1.28211e-08
0.164,-10.40747001,-10.40747034,2.99952e-08,10.40692704,10.40692737,2.98777e-08
0.1645,-10.39674947,-10.39674986,3.54709e-08,10.39617583,10.39617622,3.53751e-08
0.165,-10.38606921,-10.38606954,2.9421e-08,10.38546596,10.38546628,2.93195e-08
0.1655,-10.3754403,-10.37544046,1.41978e-08,10.37480849,10.37480864,1.40644e-08
0.166,-10.36487318,-10.36487314,4.0862e-09,10.36421383,10.36421379,4.25226e-09
0.1665,-10.35437771,-10.35437749,1.92788e-08,10.35369186,10.35369164,1.94758e-08
0.167,-10.34396317,-10.34396289,2.59846e-08,10.34325184,10.34325155,2.61853e-08
0.1675,-10.33363832,-10.33363809,2.12198e-08,10.33290251,10.33290227,2.14019e-08
0.168,-10.32341137,-10.3234113,6.16796e-09,10.32265206,10.32265199,6.30821e-09
0.1685,-10.31328999,-10.31329013,1.25796e-08,10.31250818,10.31250832,1.2483e-08
0.169,-10.30328137,-10.3032815,1.17937e-08,10.30247802,10.30247814,1.17065e-08
0.1695,-10.29339221,-10.2933922,9.23262e-10,10.29256826,10.29256825,1.03556e-09
0.17,-10.28362874,-10.28362891,1.61607e-08,10.28278514,10.28278531,1.60957e-08
0.1705,-10.27399671,-10.27399718,4.22668e-08,10.27313439,10.27313485,4.22647e-08
0.171,-10.26450146,-10.26450218,6.5561e-08,10.26362131,10.26362203,6.56194e-08
0.1715,-10.25514787,-10.25514873,7.83534e-08,10.25425079,10.25425166,7.84484e-08
0.172,-10.24594045,-10.24594132,7.8413e-08,10.24502733,10.24502819,7.85145e-08
0.1725,-10.23688328,-10.23688404,6.88569e-08,10.23595496,10.23595572,6.89451e-08
0.173,-10.22798006,-10.22798066,5.42111e-08,10.22703739,10.22703799,5.42832e-08
0.1735,-10.21923414,-10.21923457,3.913e-08,10.21827795,10.21827838,3.9176e-08
0.174,-10.21064851,-10.21064882,2.83568e-08,10.20967961,10.20967992,2.83863e-08
0.1745,-10.20222579,-10.2022261,2.8129e-08,10.20124497,10.20124528,2.81645e-08
0.175,-10.19396831,-10.19396873,3.82864e-08,10.19297634,10.19297676,3.83543e-08
0.1755,-10.18587807,-10.18587868,5.56288e-08,10.18487572,10.18487633,5.5734e-08
0.176,-10.17795678,-10.17795759,7.30362e-08,10.17694478,10.17694559,7.3178e-08
0.1765,-10.17020584,-10.17020652,6.16263e-08,10.1691849,10.16918558,6.17526e-08
0.177,-10.16262638,-10.16262705,6.081e-08,10.16159722,10.16159789,6.09404e-08
0.1775,-10.1552193,-10.15522016,7.83437e-08,10.1541826,10.15418346,7.85139e-08
0.178,-10.14798518,-10.1479863,1.01656e-07,10.1469416,10.14694272,1.01873e-07
0.1785,-10.14092442,-10.14092575,1.20902e-07,10.13987461,10.13987594,1.21158e-07
0.179,-10.13403717,-10.1340386,1.30444e-07,10.13298175,10.13298319,1.30726e-07
0.1795,-10.12732336,-10.12732477,1.28934e-07,10.12626295,10.12626437,1.29216e-07
0.18,-10.12078268,-10.12078401,1.20926e-07,10.11971788,10.11971921,1.21201e-07
0.1805,-10.11441468,-10.11441587,1.08079e-07,10.11334606,10.11334726,1.08335e-07
0.181,-10.10821871,-10.10821975,9.38576e-08,10.10714683,10.10714786,9.40943e-08
0.1815,-10.10219392,-10.10219484,8.34967e-08,10.1011193,10.10112023,8.37177e-08
0.182,-10.09633927,-10.09634017,8.13022e-08,10.09526246,10.09526335,8.15268e-08
